"activation","group","sph_time","donor","mfi_cd19","mfi_cd19_norm_pct"
"ACTIVADAS","Sph+CAR-T",72,"D1",98504,36.9
"ACTIVADAS","Sph+CAR-T",72,"D2",115926,43.4
"ACTIVADAS","Sph+CAR-T",72,"mean",107215,40.1
"ACTIVADAS","Sph+CAR-T",96,"D1",281518,105.4
"ACTIVADAS","Sph+CAR-T",96,"D2",259459,97.1
"ACTIVADAS","Sph+CAR-T",96,"mean",270488,101.2
"ACTIVADAS","Sph+PBMC",48,"D1",153258,57.4
"ACTIVADAS","Sph+PBMC",48,"D2",170345,63.8
"ACTIVADAS","Sph+PBMC",48,"mean",161802,60.6
"ACTIVADAS","Sph+PBMC",72,"D1",93432,35
"ACTIVADAS","Sph+PBMC",72,"D2",78614,29.4
"ACTIVADAS","Sph+PBMC",72,"mean",86023,32.2
"ACTIVADAS","Sph+PBMC",96,"D1",268937,100.7
"ACTIVADAS","Sph+PBMC",96,"D2",231527,86.7
"ACTIVADAS","Sph+PBMC",96,"mean",250232,93.7
"ACTIVADAS","Sph+PBMC+CAR-T",72,"D1",55744,20.9
"ACTIVADAS","Sph+PBMC+CAR-T",72,"mean",69030,25.9
"ACTIVADAS","Sph+PBMC+CAR-T",72,NA,82317,30.8
"ACTIVADAS","Sph+PBMC+CAR-T",96,"D1",72395,27.1
"ACTIVADAS","Sph+PBMC+CAR-T",96,"D2",111985,41.9
"ACTIVADAS","Sph+PBMC+CAR-T",96,"mean",92190,34.5
"ACTIVADAS","Sph. only",48,"mean",232280,86.9
"ACTIVADAS","Sph. only",48,NA,232280,86.9
"ACTIVADAS","Sph. only",72,"mean",184607,69.1
"ACTIVADAS","Sph. only",72,NA,184607,69.1
"ACTIVADAS","Sph. only",96,"mean",247891,92.8
"ACTIVADAS","Sph. only",96,NA,247891,92.8
"NO_ACTIVADOS","ESFEROIDE_BASELINE",NA,NA,523000,195.7
"NO_ACTIVADOS","Sph+CAR-T",72,"D1",445000,166.5
"NO_ACTIVADOS","Sph+CAR-T",72,"D2",175907,65.8
"NO_ACTIVADOS","Sph+CAR-T",72,"mean",310454,116.2
"NO_ACTIVADOS","Sph+CAR-T",96,"D1",182244,68.2
"NO_ACTIVADOS","Sph+CAR-T",96,"D2",236085,88.4
"NO_ACTIVADOS","Sph+CAR-T",96,"mean",209164,78.3
"NO_ACTIVADOS","Sph+PBMC",48,"D1",137521,51.5
"NO_ACTIVADOS","Sph+PBMC",48,"D2",219099,82
"NO_ACTIVADOS","Sph+PBMC",48,"mean",178310,66.8
"NO_ACTIVADOS","Sph+PBMC",72,"D1",165496,61.9
"NO_ACTIVADOS","Sph+PBMC",72,"D2",254434,95.2
"NO_ACTIVADOS","Sph+PBMC",72,"mean",209965,78.6
"NO_ACTIVADOS","Sph+PBMC",96,"D1",252782,94.6
"NO_ACTIVADOS","Sph+PBMC",96,"D2",111985,41.9
"NO_ACTIVADOS","Sph+PBMC",96,"mean",182384,68.2
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"D1",283364,106.1
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"D2",330520,123.7
"NO_ACTIVADOS","Sph+PBMC+CAR-T",72,"mean",306942,114.9
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"D1",156727,58.7
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"D2",193755,72.5
"NO_ACTIVADOS","Sph+PBMC+CAR-T",96,"mean",175241,65.6
"NO_ACTIVADOS","Sph. only",48,"mean",351801,131.7
"NO_ACTIVADOS","Sph. only",48,NA,351801,131.7
"NO_ACTIVADOS","Sph. only",72,"mean",184013,68.9
"NO_ACTIVADOS","Sph. only",72,NA,184013,68.9
"NO_ACTIVADOS","Sph. only",96,"mean",250324,93.7
"NO_ACTIVADOS","Sph. only",96,NA,250324,93.7
"NO_ACTIVADOS","UNS_A549_CD19",NA,NA,267188,100
"NO_ACTIVADOS","UNS_A549_WT",NA,NA,231527,86.7
"NO_ACTIVADOS","UNS_MRC5",NA,NA,310556,116.2
